,Food name,Category number,Category name,Protein (g),Water (g),"Fiber, total dietary (g)","Vitamin A, RAE (mcg)",Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Vitamin B-12 (mcg),"Folate, total (mcg)",Vitamin C (mg),Calcium (mg),Iron (mg),Magnesium (mg),Potassium (mg),Sodium (mg),Zinc (mg),Energy (kcal),"Sugars, total (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Vitamin D (D2 + D3) (mcg),Category 2,Category 3
3087,Trail mix with nuts,2804,Nuts and seeds,20.06,1.97,8.1,0,0.192,0.304,7.506,0.42,0.0,99,0.6,88,3.2,205,649,252,3.75,600,4.1,52.82,7.288,24.866,16.774,0,0.0,Nuts,Veggie
3088,Trail mix with nuts and fruit,2804,Nuts and seeds,10.9,8.8,6.5,1,0.126,0.19,4.081,0.263,0.0,51,0.9,62,2.14,112,523,134,1.99,452,36.48,26.74,3.69,12.514,8.446,0,0.0,Nuts,Veggie
3089,Trail mix with chocolate,2804,Nuts and seeds,11.65,5.21,6.0,15,0.131,0.226,4.018,0.244,0.13,52,0.8,80,2.16,119,490,146,2.36,501,34.85,32.17,7.006,13.906,8.733,4,0.0,Nuts,Veggie
3090,"Trail mix with pretzels, cereal, or granola",2804,Nuts and seeds,13.09,5.57,6.1,0,0.219,0.256,5.281,0.257,0.0,96,1.2,60,3.04,115,480,444,2.21,473,19.32,27.58,3.802,12.781,8.826,0,0.0,Nuts,Veggie
3091,"Pumpkin seeds, NFS",2804,Nuts and seeds,29.84,2.03,6.5,0,0.07,0.15,4.43,0.1,0.0,57,1.8,52,8.07,550,788,18,7.64,574,1.29,49.05,8.544,15.734,19.856,0,0.0,Nuts,Veggie
3092,"Pumpkin seeds, salted",2804,Nuts and seeds,29.49,2.01,6.4,0,0.069,0.148,4.377,0.099,0.0,56,1.8,52,7.97,543,779,477,7.55,567,1.27,48.47,8.443,15.547,19.621,0,0.0,Nuts,Veggie
3093,"Pumpkin seeds, unsalted",2804,Nuts and seeds,29.84,2.03,6.5,0,0.07,0.15,4.43,0.1,0.0,57,1.8,52,8.07,550,788,18,7.64,574,1.29,49.05,8.544,15.734,19.856,0,0.0,Nuts,Veggie
3094,"Sunflower seeds, plain, unsalted",2804,Nuts and seeds,19.33,1.2,11.1,0,0.106,0.246,7.042,0.804,0.0,237,1.4,70,3.8,129,850,3,5.29,582,2.73,49.8,5.219,9.505,32.884,0,0.0,Nuts,Veggie
3095,"Sunflower seeds, plain, salted",2804,Nuts and seeds,19.1,1.19,11.0,0,0.105,0.243,6.958,0.794,0.0,234,1.4,70,3.76,127,840,462,5.23,575,2.7,49.21,5.157,9.392,32.494,0,0.0,Nuts,Veggie
3096,"Sunflower seeds, flavored",2804,Nuts and seeds,18.45,1.15,10.6,0,0.101,0.235,6.723,0.768,0.0,226,1.3,68,3.63,123,812,612,5.05,567,5.55,47.56,4.983,9.075,31.395,0,0.0,Nuts,Veggie
3097,"Sunflower seeds, NFS",2804,Nuts and seeds,19.33,1.2,11.1,0,0.106,0.246,7.042,0.804,0.0,237,1.4,70,3.8,129,850,3,5.29,582,2.73,49.8,5.219,9.505,32.884,0,0.0,Nuts,Veggie
3098,Sesame seeds,2804,Nuts and seeds,20.45,3.75,11.6,3,0.699,0.09,5.8,0.4,0.0,115,0.0,60,6.36,345,370,47,6.73,631,0.48,61.21,9.055,23.924,25.491,0,0.0,Nuts,Veggie
3099,Tahini,2804,Nuts and seeds,17.0,3.05,9.3,3,1.22,0.473,5.45,0.149,0.0,98,0.0,426,8.95,95,414,115,4.62,595,0.49,53.76,7.529,20.302,23.564,0,0.0,Nuts,Veggie
3100,Flax seeds,2804,Nuts and seeds,18.29,6.96,27.3,0,1.644,0.161,3.08,0.473,0.0,87,0.6,255,5.73,392,813,30,4.34,534,1.55,42.16,3.663,7.527,28.73,0,0.0,Nuts,Veggie
3101,Mixed seeds,2804,Nuts and seeds,21.96,1.41,10.0,0,0.097,0.222,6.389,0.628,0.0,192,1.5,66,4.87,234,834,7,5.88,580,2.37,49.61,6.05,11.062,29.627,0,0.0,Nuts,Veggie
3102,Chia seeds,2804,Nuts and seeds,18.29,6.96,27.3,0,1.644,0.161,3.08,0.473,0.0,87,0.6,255,5.73,392,813,30,4.34,534,1.55,42.16,3.663,7.527,28.73,0,0.0,Nuts,Veggie
3103,Carob chips,5704,Candy not containing chocolate,8.15,1.54,3.8,1,0.1,0.178,1.04,0.13,0.28,21,0.5,303,1.29,36,633,107,3.53,540,34.11,31.36,29.018,0.483,0.295,1,0.0,,
3104,"Bread, NS as to major flour",4202,Yeast breads,9.43,35.7,2.3,0,0.507,0.24,4.76,0.092,0.0,111,0.0,211,3.36,27,117,477,0.88,270,5.34,3.59,0.821,0.717,1.87,0,0.0,,
3105,"Bread, NS as to major flour, toasted",4202,Yeast breads,10.36,29.34,2.5,0,0.446,0.264,5.231,0.101,0.0,104,0.0,232,3.69,30,129,524,0.97,297,5.87,3.94,0.902,0.788,2.055,0,0.0,,
3106,"Bread, made from home recipe or purchased at a bakery, NS as to major flour",4202,Yeast breads,8.63,35.93,1.7,19,0.49,0.348,4.646,0.039,0.06,96,0.0,36,2.87,19,100,566,0.68,270,3.11,3.41,1.206,0.844,0.8,4,0.2,,
3107,"Bread, made from home recipe or purchased at a bakery, toasted, NS as to major flour",4202,Yeast breads,9.49,29.6,1.9,20,0.431,0.382,5.105,0.043,0.07,90,0.0,39,3.15,21,110,622,0.75,296,3.41,3.75,1.325,0.927,0.879,4,0.2,,
3108,"Roll, NS as to major flour",4204,Rolls and buns,9.77,34.34,1.8,0,0.543,0.297,4.18,0.063,0.2,94,1.3,144,3.43,23,122,494,0.73,279,7.28,3.91,0.842,0.748,1.78,0,0.0,,
3109,"Roll, hard, NS as to major flour",4204,Rolls and buns,9.9,31.0,2.3,0,0.478,0.336,4.239,0.035,0.0,95,0.0,95,3.28,27,108,544,0.94,293,1.77,4.3,0.606,1.133,1.719,0,0.0,,
3110,"Roll, bran, NS as to type of bran",4204,Rolls and buns,9.6,38.0,3.8,0,0.463,0.31,4.468,0.092,0.01,111,0.0,95,3.95,44,160,458,1.05,263,6.25,6.0,1.39,2.839,1.153,0,0.0,,
3111,"Bread, white",4202,Yeast breads,9.43,35.7,2.3,0,0.507,0.24,4.76,0.092,0.0,111,0.0,211,3.36,27,117,477,0.88,270,5.34,3.59,0.821,0.717,1.87,0,0.0,,
3112,"Bread, white, toasted",4202,Yeast breads,10.36,29.34,2.5,0,0.446,0.264,5.231,0.101,0.0,104,0.0,232,3.69,30,129,524,0.97,297,5.87,3.94,0.902,0.788,2.055,0,0.0,,
3113,"Bread, white, made from home recipe or purchased at a bakery",4202,Yeast breads,8.63,35.93,1.7,19,0.49,0.348,4.646,0.039,0.06,96,0.0,36,2.87,19,100,566,0.68,270,3.11,3.41,1.206,0.844,0.8,4,0.2,,
3114,"Bread, white, made from home recipe or purchased at a bakery, toasted",4202,Yeast breads,9.49,29.6,1.9,20,0.431,0.382,5.105,0.043,0.07,90,0.0,39,3.15,21,110,622,0.75,296,3.41,3.75,1.325,0.927,0.879,4,0.2,,
3115,"Bread, white with whole wheat swirl",4202,Yeast breads,10.86,37.2,4.2,0,0.449,0.203,4.595,0.154,0.0,76,0.0,187,2.96,52,184,464,1.32,262,4.88,3.57,0.776,0.666,1.74,0,0.0,,
3116,"Bread, white with whole wheat swirl, toasted",4202,Yeast breads,12.45,27.5,4.7,0,0.368,0.236,5.308,0.174,0.0,68,0.0,217,3.44,58,208,535,1.5,303,5.65,4.12,0.898,0.771,2.014,0,0.0,,
3117,"Bread, Cuban",4202,Yeast breads,10.75,33.0,2.2,0,0.71,0.427,4.817,0.107,0.0,123,0.0,52,3.91,32,117,602,1.04,272,4.62,2.42,0.529,0.362,0.855,0,0.0,,
3118,"Bread, Cuban, toasted",4202,Yeast breads,11.81,26.37,2.4,0,0.624,0.469,5.293,0.118,0.0,115,0.0,57,4.3,35,129,662,1.14,299,5.08,2.66,0.581,0.398,0.94,0,0.0,,
3119,"Bread, native, water, Puerto Rican style",4202,Yeast breads,8.78,34.12,1.8,0,0.481,0.352,4.899,0.033,0.02,101,0.0,26,3.1,19,98,544,0.78,277,1.79,3.26,0.708,1.317,0.752,0,0.0,,
3120,"Bread, native, water, toasted, Puerto Rican style",4202,Yeast breads,9.65,27.6,2.0,0,0.423,0.387,5.384,0.036,0.02,94,0.0,28,3.41,21,107,597,0.86,305,1.96,3.58,0.778,1.447,0.826,0,0.0,,
3121,"Bread, lard, Puerto Rican style",4202,Yeast breads,6.97,33.1,2.0,0,0.518,0.326,3.8,0.042,0.0,107,0.0,12,2.96,15,78,433,0.54,280,7.05,2.95,0.98,1.105,0.51,2,0.1,,
3122,"Bread, lard, toasted, Puerto Rican style",4202,Yeast breads,7.74,25.67,2.2,0,0.576,0.363,4.222,0.046,0.0,119,0.0,13,3.28,17,87,482,0.6,311,7.83,3.28,1.089,1.228,0.566,2,0.1,,
3123,"Bread, caressed, Puerto Rican style",4202,Yeast breads,7.76,36.58,1.8,0,0.47,0.327,4.665,0.036,0.0,107,0.0,12,2.86,17,83,526,0.88,273,3.65,4.58,1.048,2.133,0.869,0,0.0,,
3124,"Bread, caressed, toasted, Puerto Rican style",4202,Yeast breads,8.53,30.3,2.0,0,0.413,0.359,5.126,0.04,0.0,100,0.0,13,3.15,19,92,579,0.97,300,4.01,5.03,1.152,2.344,0.955,0,0.0,,
3125,"Bread, French or Vienna",4202,Yeast breads,10.75,33.0,2.2,0,0.71,0.427,4.817,0.107,0.0,123,0.0,52,3.91,32,117,602,1.04,272,4.62,2.42,0.529,0.362,0.855,0,0.0,,
3126,"Bread, French or Vienna, toasted",4202,Yeast breads,11.81,26.37,2.4,0,0.624,0.469,5.293,0.118,0.0,115,0.0,57,4.3,35,129,662,1.14,299,5.08,2.66,0.581,0.398,0.94,0,0.0,,
3127,"Focaccia, Italian flatbread, plain",4202,Yeast breads,8.77,45.91,1.8,0,0.47,0.301,3.67,0.113,0.0,138,0.0,35,3.16,20,114,561,1.33,249,1.75,7.89,0.877,5.67,0.994,0,0.0,,
3128,"Naan, Indian flatbread",4202,Yeast breads,11.09,29.24,5.2,2,0.153,0.196,3.891,0.139,0.0,15,0.0,64,1.88,74,201,508,1.35,311,3.7,7.28,3.16,2.115,1.367,1,0.0,,
3129,"Bread, Italian, Grecian, Armenian",4202,Yeast breads,9.49,37.54,2.1,0,0.582,0.321,4.538,0.104,0.0,107,0.0,105,3.45,26,124,618,0.79,259,4.69,2.73,0.544,0.493,1.312,0,0.0,,
3130,"Bread, Italian, Grecian, Armenian, toasted",4202,Yeast breads,10.43,31.36,2.3,0,0.512,0.353,4.987,0.114,0.0,100,0.0,115,3.79,29,136,679,0.87,285,5.15,3.0,0.598,0.542,1.442,0,0.0,,
3131,"Bread, pita",4202,Yeast breads,9.1,32.1,2.2,0,0.599,0.327,4.632,0.034,0.0,107,0.0,86,2.62,26,120,536,0.84,275,1.3,1.2,0.166,0.105,0.535,0,0.0,,
3132,"Bread, pita, toasted",4202,Yeast breads,10.0,25.38,2.4,0,0.527,0.359,5.09,0.037,0.0,100,0.0,95,2.88,29,132,589,0.92,302,1.43,1.32,0.182,0.115,0.588,0,0.0,,
3133,"Bread, pita with fruit",4202,Yeast breads,8.16,29.42,2.6,0,0.516,0.293,3.996,0.055,0.0,90,0.3,82,2.49,28,209,454,0.76,279,11.61,1.05,0.154,0.092,0.457,0,0.0,,
3134,"Bread, pita with fruit, toasted",4202,Yeast breads,8.97,22.43,2.8,0,0.454,0.322,4.391,0.06,0.0,84,0.3,90,2.73,30,229,499,0.84,306,12.76,1.15,0.169,0.101,0.502,0,0.0,,
3135,"Bread, cheese",4202,Yeast breads,10.42,21.13,2.1,24,0.433,0.303,3.279,0.048,0.24,107,0.0,90,2.49,17,84,750,0.96,408,2.08,20.83,6.25,4.339,9.203,10,0.1,,
3136,"Bread, cheese, toasted",4202,Yeast breads,11.45,13.33,2.3,25,0.381,0.333,3.603,0.053,0.26,100,0.0,99,2.74,19,92,824,1.06,448,2.29,22.89,6.868,4.768,10.113,11,0.1,,
3137,"Bread, cinnamon",4202,Yeast breads,7.05,41.93,3.5,0,0.317,0.12,2.822,0.027,0.05,56,0.0,71,2.54,11,74,388,0.49,253,14.11,5.29,0.0,0.0,3.527,0,0.0,,
3138,"Bread, cinnamon, toasted",4202,Yeast breads,10.36,29.34,2.5,0,0.446,0.264,5.231,0.101,0.0,104,0.0,232,3.69,30,129,524,0.97,297,5.87,3.94,0.902,0.788,2.055,0,0.0,,
3139,"Bread, cornmeal and molasses",4202,Yeast breads,6.74,32.57,1.6,24,0.45,0.284,4.158,0.169,0.01,91,0.0,50,3.36,62,354,318,0.59,283,14.94,3.79,1.914,0.855,0.518,7,0.0,,
3140,"Bread, cornmeal and molasses, toasted",4202,Yeast breads,7.4,25.9,1.8,25,0.396,0.312,4.569,0.186,0.01,85,0.0,55,3.7,69,389,349,0.65,311,16.41,4.17,2.103,0.94,0.569,8,0.0,,
3141,"Bread, egg, Challah",4202,Yeast breads,9.5,34.7,2.3,63,0.438,0.436,4.848,0.064,0.1,105,0.0,93,3.04,19,115,380,0.79,287,1.78,6.0,1.593,2.302,1.106,51,0.4,,
3142,"Bread, egg, Challah, toasted",4202,Yeast breads,10.44,28.24,2.5,66,0.385,0.479,5.327,0.07,0.11,98,0.0,102,3.34,21,126,418,0.87,315,1.96,6.59,1.751,2.53,1.215,56,0.4,,
3143,"Garlic bread, NFS",4202,Yeast breads,8.34,31.72,2.5,13,0.438,0.184,4.134,0.083,0.08,167,0.2,27,3.04,23,103,620,0.87,349,3.68,16.58,5.27,4.66,5.426,0,0.2,,
3144,"Garlic bread, from fast food / restaurant",4202,Yeast breads,8.34,31.72,2.5,13,0.438,0.184,4.134,0.083,0.08,167,0.2,27,3.04,23,103,620,0.87,349,3.68,16.58,5.27,4.66,5.426,0,0.2,,
3145,"Garlic bread, from frozen",4202,Yeast breads,8.36,31.78,2.5,13,0.439,0.184,4.142,0.083,0.08,167,0.2,27,3.05,23,103,544,0.87,350,3.69,16.61,5.281,4.669,5.437,0,0.2,,
3146,"Garlic bread, with parmesan cheese, from fast food / restaurant",4202,Yeast breads,8.76,31.54,2.4,17,0.43,0.187,4.054,0.083,0.1,164,0.2,44,2.99,23,104,642,0.94,351,3.61,16.8,5.471,4.694,5.343,2,0.2,,
3147,"Garlic bread, with parmesan cheese, from frozen",4202,Yeast breads,8.78,31.6,2.5,17,0.431,0.187,4.062,0.083,0.1,164,0.2,44,3.0,23,105,568,0.94,351,3.62,16.83,5.481,4.703,5.354,2,0.2,,
3148,"Garlic bread, with melted cheese, from fast food / restaurant",4202,Yeast breads,11.41,34.91,2.0,51,0.355,0.219,3.328,0.083,0.38,139,0.2,160,2.48,24,105,636,1.42,339,3.31,17.34,6.554,4.658,4.491,13,0.2,,
3149,"Garlic bread, with melted cheese, from frozen",4202,Yeast breads,10.36,33.86,2.2,38,0.385,0.207,3.615,0.083,0.27,149,0.2,114,2.68,24,105,564,1.23,343,3.44,17.1,6.118,4.667,4.825,8,0.2,,
3150,"Bread, onion",4202,Yeast breads,7.53,43.67,1.7,16,0.424,0.3,3.975,0.051,0.05,84,0.9,34,2.48,18,109,483,0.61,236,3.33,2.92,1.034,0.721,0.685,3,0.2,,
3151,"Bread, onion, toasted",4202,Yeast breads,8.28,38.1,1.9,17,0.373,0.33,4.368,0.056,0.06,79,0.8,37,2.72,20,120,530,0.67,260,3.66,3.21,1.136,0.792,0.753,4,0.2,,
3152,"Bread, reduced calorie and/or high fiber, white or NFS",4202,Yeast breads,8.7,42.9,9.7,0,0.41,0.289,3.641,0.042,0.28,95,0.5,94,3.19,23,76,479,1.34,207,4.76,2.5,0.549,1.077,0.559,0,0.0,,
3153,"Bread, reduced calorie and/or high fiber, white or NFS, toasted",4202,Yeast breads,9.56,37.25,10.7,0,0.36,0.318,4.001,0.046,0.31,89,0.5,103,3.5,25,84,526,1.47,227,5.23,2.75,0.603,1.184,0.614,0,0.0,,
3154,"Bread, reduced calorie and/or high fiber, white or NFS, with fruit and/or nuts",4202,Yeast breads,7.83,38.47,8.9,0,0.358,0.262,3.165,0.062,0.24,80,0.7,88,2.96,25,172,406,1.18,222,14.51,2.14,0.476,0.907,0.477,0,0.0,,
3155,"Bread, reduced calorie and/or high fiber, white or NFS, with fruit and/or nuts, toasted",4202,Yeast breads,8.6,32.39,9.7,0,0.315,0.288,3.478,0.068,0.26,75,0.7,97,3.26,28,189,446,1.3,244,15.94,2.35,0.523,0.997,0.524,0,0.0,,
3156,"Bread, white, special formula, added fiber",4202,Yeast breads,10.66,39.6,9.2,0,0.51,0.255,4.455,0.08,0.0,127,0.0,684,4.89,26,127,478,0.95,238,5.0,2.15,0.63,0.393,0.973,0,0.0,,
3157,"Bread, white, special formula, added fiber, toasted",4202,Yeast breads,11.71,33.63,10.1,0,0.448,0.28,4.896,0.088,0.0,119,0.0,752,5.37,29,140,525,1.04,262,5.5,2.36,0.692,0.432,1.069,0,0.0,,
3158,"Bread, high protein",4202,Yeast breads,12.1,40.0,3.0,0,0.36,0.394,4.289,0.071,0.0,116,0.0,124,4.15,65,322,404,1.82,245,1.44,2.2,0.332,0.183,1.009,0,0.0,,
3159,"Bread, high protein, toasted",4202,Yeast breads,13.3,34.07,3.3,0,0.316,0.433,4.713,0.078,0.0,108,0.0,136,4.56,71,354,444,2.0,269,1.58,2.42,0.365,0.201,1.109,0,0.0,,
3160,"Bread, potato",4202,Yeast breads,12.5,33.55,6.3,24,0.188,0.106,1.25,0.232,0.15,126,0.0,188,2.25,28,718,375,1.44,266,9.38,3.13,0.0,0.0,0.0,0,0.1,,
3161,"Bread, potato, toasted",4202,Yeast breads,13.74,26.98,6.9,25,0.165,0.116,1.374,0.255,0.16,118,0.0,207,2.47,31,789,412,1.58,292,10.31,3.44,0.0,0.0,0.0,0,0.1,,
3162,"Bread, raisin",4202,Yeast breads,8.82,33.68,2.5,0,0.467,0.228,4.361,0.1,0.0,100,0.2,196,3.2,28,180,432,0.83,273,11.32,3.26,0.748,0.648,1.688,0,0.0,,
3163,"Bread, raisin, toasted",4202,Yeast breads,9.69,27.12,2.8,0,0.413,0.251,4.792,0.11,0.0,94,0.3,215,3.52,31,197,475,0.91,300,12.44,3.58,0.822,0.712,1.855,0,0.0,,
3164,"Bread, white, low sodium or no salt",4202,Yeast breads,8.2,36.7,2.3,0,0.472,0.341,3.969,0.064,0.03,111,0.0,108,3.03,24,119,298,0.62,267,4.31,3.6,0.811,1.612,0.744,1,0.0,,
3165,"Bread, white, low sodium or no salt, toasted",4202,Yeast breads,9.01,30.44,2.5,0,0.415,0.375,4.362,0.07,0.03,104,0.0,119,3.33,26,131,327,0.68,293,4.74,3.96,0.891,1.771,0.818,1,0.0,,
3166,"Bread, sour dough",4202,Yeast breads,10.75,33.0,2.2,0,0.71,0.427,4.817,0.107,0.0,123,0.0,52,3.91,32,117,602,1.04,272,4.62,2.42,0.529,0.362,0.855,0,0.0,,
3167,"Bread, sour dough, toasted",4202,Yeast breads,11.81,26.37,2.4,0,0.624,0.469,5.293,0.118,0.0,115,0.0,57,4.3,35,129,662,1.14,299,5.08,2.66,0.581,0.398,0.94,0,0.0,,
3168,"Bread, sweet potato",4202,Yeast breads,7.41,42.72,1.7,85,0.408,0.296,3.953,0.067,0.05,81,4.1,34,2.53,20,143,475,0.59,239,3.52,2.84,0.998,0.695,0.674,3,0.2,,
3169,"Bread, sweet potato, toasted",4202,Yeast breads,8.14,37.06,1.9,89,0.359,0.325,4.344,0.074,0.06,76,3.8,37,2.78,22,157,522,0.65,263,3.87,3.12,1.097,0.764,0.741,4,0.2,,
3170,"Bread, vegetable",4202,Yeast breads,8.27,38.73,1.9,48,0.466,0.334,4.485,0.052,0.06,93,3.6,36,2.8,21,146,532,0.67,256,3.54,3.23,1.133,0.793,0.767,4,0.2,,
3171,"Bread, vegetable, toasted",4202,Yeast breads,9.09,32.67,2.1,50,0.41,0.367,4.929,0.057,0.06,86,3.4,40,3.08,23,161,584,0.74,282,3.89,3.55,1.245,0.871,0.843,4,0.2,,
3172,Bruschetta,3708,Other sandwiches (single code),4.29,65.55,1.5,24,0.168,0.138,2.112,0.093,0.0,37,7.6,50,1.58,17,187,264,0.42,170,3.34,7.61,1.117,4.895,1.242,0,0.0,,
3173,"Bread, dough, fried",4202,Yeast breads,8.04,27.36,1.5,20,0.386,0.322,4.048,0.039,0.1,77,0.0,52,2.56,19,117,176,0.74,382,3.55,18.79,4.82,7.301,5.255,3,0.4,,
3174,"Roll, white, soft",4204,Rolls and buns,9.77,34.34,1.8,0,0.543,0.297,4.18,0.063,0.2,94,1.3,144,3.43,23,122,494,0.73,279,7.28,3.91,0.842,0.748,1.78,0,0.0,,
3175,"Roll, white, hard",4204,Rolls and buns,9.9,31.0,2.3,0,0.478,0.336,4.239,0.035,0.0,95,0.0,95,3.28,27,108,544,0.94,293,1.77,4.3,0.606,1.133,1.719,0,0.0,,
3176,"Roll, white, hot dog bun",4204,Rolls and buns,9.77,34.34,1.8,0,0.543,0.297,4.18,0.063,0.2,94,1.3,144,3.43,23,122,494,0.73,279,7.28,3.91,0.842,0.748,1.78,0,0.0,,
3177,"Roll, white, hamburger bun",4204,Rolls and buns,9.77,34.34,1.8,0,0.543,0.297,4.18,0.063,0.2,94,1.3,144,3.43,23,122,494,0.73,279,7.28,3.91,0.842,0.748,1.78,0,0.0,,
3178,"Roll, diet",4204,Rolls and buns,10.75,33.0,2.2,0,0.71,0.427,4.817,0.107,0.0,123,0.0,52,3.91,32,117,602,1.04,272,4.62,2.42,0.529,0.362,0.855,0,0.0,,
3179,"Roll, egg bread",4204,Rolls and buns,9.5,34.7,2.3,63,0.438,0.436,4.848,0.064,0.1,105,0.0,93,3.04,19,115,380,0.79,287,1.78,6.0,1.593,2.302,1.106,51,0.4,,
3180,"Roll, cheese",4204,Rolls and buns,11.48,28.85,1.9,17,0.501,0.377,5.101,0.095,0.15,97,0.2,204,3.54,26,136,476,1.12,315,5.29,7.85,2.266,2.159,2.443,9,0.0,,
3181,"Roll, French or Vienna",4204,Rolls and buns,8.6,34.8,3.2,0,0.523,0.3,4.352,0.039,0.0,113,0.0,91,2.71,20,114,574,0.9,277,0.31,4.3,0.962,1.961,0.834,0,0.0,,
3182,"Roll, garlic",4204,Rolls and buns,10.84,28.59,2.0,1,0.524,0.373,5.344,0.103,0.13,101,0.4,178,3.71,26,140,465,0.99,309,5.53,6.44,1.369,1.872,2.498,4,0.0,,
3183,"Roll, white, hoagie, submarine",4204,Rolls and buns,9.77,34.34,1.8,0,0.543,0.297,4.18,0.063,0.2,94,1.3,144,3.43,23,122,494,0.73,279,7.28,3.91,0.842,0.748,1.78,0,0.0,,
3184,"Roll, Mexican, bolillo",4204,Rolls and buns,10.65,26.05,2.2,1,0.68,0.43,5.585,0.105,0.13,127,0.2,41,3.9,30,131,506,0.88,318,3.55,5.8,1.401,2.658,1.022,1,0.0,,
3185,"Roll, sour dough",4204,Rolls and buns,10.75,33.0,2.2,0,0.71,0.427,4.817,0.107,0.0,123,0.0,52,3.91,32,117,602,1.04,272,4.62,2.42,0.529,0.362,0.855,0,0.0,,
3186,"Roll, sweet, no frosting",5506,"Doughnuts, sweet rolls, pastries",10.04,27.83,3.1,40,0.48,0.327,3.787,0.11,0.21,91,0.2,62,2.74,24,149,253,0.85,321,15.38,7.37,3.516,1.851,0.855,55,0.0,,
3187,"Roll, sweet, cinnamon bun, no frosting",5506,"Doughnuts, sweet rolls, pastries",6.2,24.8,2.4,62,0.324,0.265,2.384,0.107,0.14,72,2.0,72,1.6,17,111,304,0.59,372,31.73,16.4,3.079,4.797,7.473,66,0.0,,
3188,"Roll, sweet, cinnamon bun, frosted",5506,"Doughnuts, sweet rolls, pastries",4.45,18.98,1.2,0,0.211,0.138,2.404,0.038,0.16,72,0.3,183,1.37,14,102,305,0.53,452,25.7,26.61,12.649,8.723,3.676,5,0.0,,
3189,"Pan Dulce, with fruit, no frosting",5506,"Doughnuts, sweet rolls, pastries",6.2,24.8,2.4,62,0.324,0.265,2.384,0.107,0.14,72,2.0,72,1.6,17,111,304,0.59,372,31.73,16.4,3.079,4.797,7.473,66,0.0,,
3190,"Roll, sweet, with fruit, frosted",5506,"Doughnuts, sweet rolls, pastries",5.23,23.28,2.0,52,0.275,0.271,2.046,0.09,0.12,62,1.7,61,1.38,14,99,285,0.51,379,36.63,16.37,3.063,4.807,7.548,56,0.0,,
3191,"Roll, sweet, with fruit, frosted, diet",5506,"Doughnuts, sweet rolls, pastries",4.45,18.98,1.2,0,0.211,0.138,2.404,0.038,0.16,72,0.3,183,1.37,14,102,305,0.53,452,25.7,26.61,12.649,8.723,3.676,5,0.0,,
3192,"Roll, sweet, frosted",5506,"Doughnuts, sweet rolls, pastries",5.49,21.97,2.5,49,0.3,0.261,1.988,0.098,0.11,59,1.6,62,1.45,22,120,266,0.78,400,34.47,20.06,3.269,7.192,8.48,52,0.0,,
3193,"Pan Dulce, no topping",5506,"Doughnuts, sweet rolls, pastries",9.42,21.54,2.3,5,0.377,0.23,3.463,0.057,0.11,108,1.2,86,2.87,24,103,228,0.84,367,12.5,11.58,2.183,3.499,1.53,30,0.0,,
3194,"Pan Dulce, with sugar topping",5506,"Doughnuts, sweet rolls, pastries",8.73,21.03,2.1,31,0.349,0.214,3.209,0.146,0.1,100,1.1,84,2.69,23,102,235,0.78,374,15.68,12.82,2.436,4.022,2.255,28,0.1,,
3195,"Pan Dulce, with raisins and icing",5506,"Doughnuts, sweet rolls, pastries",8.29,20.67,2.2,4,0.33,0.23,3.039,0.058,0.1,94,1.1,77,2.58,23,127,214,0.75,368,19.6,11.39,2.142,3.435,2.006,26,0.0,,
3196,"Coffee cake, yeast type",5506,"Doughnuts, sweet rolls, pastries",6.2,24.8,2.4,62,0.324,0.265,2.384,0.107,0.14,72,2.0,72,1.6,17,111,304,0.59,372,31.73,16.4,3.079,4.797,7.473,66,0.0,,
3197,Croissant,5506,"Doughnuts, sweet rolls, pastries",8.2,23.2,2.6,206,0.388,0.241,2.188,0.058,0.16,88,0.2,37,2.03,16,118,384,0.75,406,11.26,21.0,11.659,5.525,1.094,67,0.0,,
3198,"Croissant, cheese",5506,"Doughnuts, sweet rolls, pastries",9.2,21.0,2.6,204,0.523,0.325,2.16,0.073,0.32,74,0.2,53,2.15,24,132,361,0.94,414,11.35,20.9,10.628,6.509,2.384,57,0.0,,
3199,"Croissant, chocolate",5506,"Doughnuts, sweet rolls, pastries",7.4,18.72,3.3,165,0.322,0.211,1.837,0.053,0.13,73,0.2,36,2.25,36,167,310,0.92,421,19.87,22.79,12.872,6.409,1.069,54,0.0,,
3200,"Croissant, fruit",5506,"Doughnuts, sweet rolls, pastries",7.75,23.73,3.0,193,0.364,0.235,2.104,0.062,0.15,83,0.4,36,1.99,16,136,366,0.72,396,14.1,19.72,10.943,5.185,1.032,63,0.0,,
3201,Brioche,5506,"Doughnuts, sweet rolls, pastries",8.76,26.41,1.5,243,0.413,0.376,2.777,0.083,0.27,92,0.0,45,2.45,15,120,440,0.8,418,3.01,26.82,15.723,7.886,1.547,159,0.7,,
3202,"Bread, Spanish coffee",5506,"Doughnuts, sweet rolls, pastries",7.6,24.97,1.9,14,0.432,0.343,3.579,0.052,0.06,99,0.0,15,3.09,16,98,16,0.89,344,12.12,8.72,1.372,5.65,1.173,33,0.2,,
