,Food name,Category number,Category name,Protein (g),Water (g),"Fiber, total dietary (g)","Vitamin A, RAE (mcg)",Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Vitamin B-12 (mcg),"Folate, total (mcg)",Vitamin C (mg),Calcium (mg),Iron (mg),Magnesium (mg),Potassium (mg),Sodium (mg),Zinc (mg),Energy (kcal),"Sugars, total (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Vitamin D (D2 + D3) (mcg),Category 2,Category 3
5100,"Lime juice, 100%, NS as to form",8406,Mustard and other condiments,0.42,90.79,0.4,2,0.025,0.015,0.142,0.038,0.0,10,30.0,14,0.09,8,117,2,0.08,25,1.69,0.07,0.008,0.008,0.023,0,0.0,,
5101,"Lime juice, 100%, freshly squeezed",8406,Mustard and other condiments,0.42,90.79,0.4,2,0.025,0.015,0.142,0.038,0.0,10,30.0,14,0.09,8,117,2,0.08,25,1.69,0.07,0.008,0.008,0.023,0,0.0,,
5102,"Lime juice, 100%, canned or bottled",8406,Mustard and other condiments,0.25,92.52,0.4,1,0.033,0.003,0.163,0.027,0.0,8,6.4,12,0.23,7,75,16,0.06,21,1.37,0.23,0.026,0.022,0.064,0,0.0,,
5103,"Orange juice, 100%, NFS",7002,Citrus juice,0.68,87.22,0.3,2,0.046,0.039,0.28,0.076,0.0,19,33.6,56,0.13,11,178,2,0.07,48,8.31,0.12,0.014,0.022,0.03,0,0.4,,
5104,"Orange juice, 100%,  freshly squeezed",7002,Citrus juice,0.7,88.3,0.2,10,0.09,0.03,0.4,0.04,0.0,30,50.0,11,0.2,11,200,1,0.05,45,8.4,0.2,0.024,0.036,0.04,0,0.0,,
5105,"Orange juice, 100%, canned, bottled or in a carton",7002,Citrus juice,0.68,87.22,0.3,2,0.046,0.039,0.28,0.076,0.0,19,33.6,11,0.13,11,178,2,0.07,49,8.31,0.12,0.014,0.022,0.03,0,0.0,,
5106,"Orange juice, 100%, with calcium added, canned, bottled or in a carton",7002,Citrus juice,0.68,87.22,0.3,2,0.046,0.039,0.28,0.076,0.0,19,33.6,140,0.13,11,178,2,0.07,47,8.31,0.12,0.014,0.022,0.03,0,0.6,,
5107,"Orange juice, 100%, frozen, reconstituted",7002,Citrus juice,0.68,88.67,0.3,4,0.078,0.05,0.312,0.074,0.0,22,41.3,13,0.09,11,180,5,0.05,42,8.47,0.07,0.017,0.014,0.018,0,0.0,,
5108,"Orange juice, 100%, frozen, not reconstituted",7002,Citrus juice,2.4,60.57,1.0,13,0.275,0.175,1.093,0.26,0.0,77,144.8,38,0.33,35,629,7,0.16,148,29.68,0.25,0.059,0.05,0.063,0,0.0,,
5109,"Orange juice, 100%, with calcium added, frozen, reconstituted",7002,Citrus juice,0.68,88.67,0.3,4,0.079,0.05,0.312,0.074,0.0,22,41.4,167,0.09,11,180,5,0.05,42,8.48,0.07,0.017,0.014,0.018,0,0.0,,
